Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
C+,D+,B-,D,A-,C+,E,D+,A-,D+,D+,B+,B+,D,D-,D-,A-,C+,C,C+,B-,D-,C+,D,D-,C+,"Art, Communication, Debating, Management","Research, Communication, Teamwork",3
C+,D,B+,B,D+,D+,C+,B-,C+,E,B-,B-,A,D+,A-,D+,C,D-,D-,D,E,D-,C-,A-,B+,C,"Research, Programming, Technology","Research, Problem Solving, Critical Thinking, Manual Dexterity, Analytical Skills",3
B+,D+,C+,C-,B+,C,C+,C,D+,B-,C-,A-,B+,C+,A-,B-,E,B,C,C,B+,D+,C,E,C-,C-,"Research, Technology","Research, Creativity, Critical Thinking, Analytical Skills, Communication",3
C+,C-,B,B+,D-,D,B+,B-,B,D,C,C,D,D+,B+,D-,C+,B-,D+,B,C-,C+,B,A-,B+,E,"Communication, Management","Logical Thinking, Teamwork, Critical Thinking, Analytical Skills, Communication",3
B,B,B+,D,D-,C-,B-,D-,C-,C,D-,C,B+,D-,B,D-,C+,C-,D+,D+,B,B+,A,D+,D,C-,"Communication, Music","Research, Communication, Problem Solving",3
C-,D,A-,A-,B-,D+,C+,E,C,A-,C-,C-,A-,C+,C+,B,C,D-,C-,D+,B-,E,D-,D+,D-,D,"Research, Programming, Sports","Communication, Creativity, Analytical Skills, Critical Thinking",3
C,C-,A-,C+,A-,E,D-,C+,E,D,A,D-,D+,B-,C,E,C+,B-,C+,D,B-,C,B-,B+,A-,B,"Communication, Technology, Debating, Sports","Research, Creativity, Critical Thinking, Communication, Empathy",3
C-,A,B+,D,E,D-,C,A-,C+,D-,D,B-,A,C+,A-,D-,C,D,E,A,A,C-,D-,B+,D+,B-,"Music, Science, Critical Thinking, Building things","Research, Communication, Problem Solving, Analytical Skills",3
C+,B,A,C+,E,C,A-,B-,C+,D,D,A,A,B-,D+,A-,D-,C+,A,D,C-,B,A,D+,B,D+,"Critical Thinking, Building things","Research, Creativity, Critical Thinking, Leadership, Analytical Skills",3
C-,D+,C+,E,A-,D,D-,C,D-,D+,B+,A,A-,C+,B-,A,C+,C,C+,A-,B,E,B-,D,C-,E,"Music, Critical Thinking","Research, Logical Thinking, Analytical Skills, Critical Thinking",3
C+,D-,C,D+,D+,B,D+,B+,A,C-,D+,C,D+,E,B,D-,D+,B+,C-,B-,A-,D+,E,D-,A-,B,"Research, Science, Programming, Debating","Research, Empathy, Teamwork, Critical Thinking",3
E,A-,B+,C-,C,D-,A-,C+,B-,B+,B,C+,C+,D-,D,D,A-,D,A-,E,D,D-,E,A,A,B,"Art, Debating, Critical Thinking","Research, Leadership, Critical Thinking",3
B,C-,B+,E,B,B-,E,B,D+,D,B,D,A,E,D,B-,C+,B+,D-,B,C+,A,A,C-,A-,D-,"Research, Science, Technology, Sports","Research, Creativity, Critical Thinking, Manual Dexterity, Leadership",3
D,D+,B-,D-,C,C-,E,B,D,D+,A,D-,A-,C+,D+,B,B-,A,B-,B+,E,B+,C-,D,D-,B+,"Programming, Critical Thinking, Building things","Logical Thinking, Teamwork, Creativity, Critical Thinking, Communication",3
C,C-,A,A-,C+,C+,A-,B-,D+,D+,A,C-,B-,B,D+,D+,D,B,C-,C+,B-,D,B-,B-,C,A-,"Art, Communication, Technology, Building things","Research, Communication, Problem Solving",3
A,B+,B-,C+,B+,D,C,E,D+,A-,C,A,D+,A-,C+,A-,D,D,D+,D,D+,D,A-,B+,A-,D,"Art, Music, Sports, Critical Thinking","Research, Manual Dexterity, Critical Thinking",3
C-,C+,B-,B+,D+,C+,E,D+,C-,B-,C+,A-,A,C,C+,B+,B,C-,D,A,D+,B-,D+,B-,C-,D,"Art, Communication, Healthcare, Management","Communication, Critical Thinking",3
A-,A,C-,B+,C-,C-,B,D,D-,C-,B+,C+,A-,C-,C+,B+,D-,D,C,C,B-,D-,C-,A-,D,C+,"Art, Research, Programming, Technology","Creativity, Critical Thinking, Leadership, Analytical Skills, Communication",3
B+,C-,D,A,E,D,B-,D-,B-,B-,B-,B-,A-,D+,D-,D,A-,C+,C,B-,A-,D,A-,E,C-,D+,"Research, Science","Communication, Research, Logical Thinking, Leadership",3
D-,C-,B,D+,A-,D+,B,C-,D,C+,D+,A-,B,D-,D-,E,C-,C,A,C+,E,E,B+,D-,C-,C-,"Research, Technology, Management","Logical Thinking, Research, Critical Thinking, Communication, Empathy",3
E,D,B-,D-,E,A-,B+,B+,D-,C,B+,D-,D+,D-,E,C,B+,C-,D+,B,B+,A,C-,C,D+,D-,"Music, Critical Thinking, Building things","Communication, Leadership, Critical Thinking",3
E,B-,B,B+,D-,C-,B,C-,C,D+,D+,D+,A,C+,B,D,A,D-,C,D+,B+,C+,D,C,C,A-,"Critical Thinking, Management","Logical Thinking, Teamwork, Research, Manual Dexterity, Communication",3
E,B-,A-,C,D-,A-,D,D+,D+,B+,C+,C-,C-,C+,D-,D,E,A,D,D-,D,B+,B,B+,C+,B-,"Art, Research","Research, Problem Solving, Manual Dexterity, Leadership, Communication, Empathy",3
D+,C-,D+,A,C+,C-,B,B+,B+,B,D,C+,A-,A,D-,C-,E,D,B+,D+,D+,C+,B+,A-,D+,A,"Research, Programming","Research, Creativity, Critical Thinking, Manual Dexterity, Communication",3
E,A-,C-,B+,D+,A,B-,D+,C,D,B,C-,B+,B+,B-,A-,D+,B+,C,B,D,A-,A-,D-,C+,D,"Art, Communication, Building things, Management","Communication, Critical Thinking",3
D-,A-,A-,E,A,C,C+,B-,C-,B,B+,C+,A-,B-,E,D,E,C,B,E,D+,B,B+,C,D,D-,"Communication, Management","Teamwork, Research, Problem Solving, Critical Thinking, Analytical Skills",3
A-,B-,B+,B+,B-,D+,C-,D,E,B-,C+,E,A-,E,B-,B-,C-,D-,B-,D,B+,E,B,C+,B+,C,"Communication, Music, Sports","Logical Thinking, Creativity, Critical Thinking, Manual Dexterity, Communication",3
B+,B-,C,B,C+,B,C+,E,A-,D-,A,B-,A,C+,B,C-,B+,D+,C,B+,E,A,B+,E,C+,E,"Science, Debating, Critical Thinking, Building things","Research, Communication",3
C,D,A,C,D-,B-,B,C,B-,A-,E,B,A-,C+,C,B+,C+,C-,D+,E,B+,A,D,D+,C+,B-,"Research, Programming, Building things, Management","Research, Manual Dexterity, Critical Thinking",3
C+,D+,D+,B-,C+,A,D+,D+,C+,D+,C+,D-,D,D+,D-,A-,C,D+,D-,B+,C+,E,B-,A-,A,B-,"Research, Science, Sports","Teamwork, Research, Creativity, Communication, Empathy",3
B-,E,D,B,D+,C,A,E,C-,D,D+,B-,A,D,D,D+,A,B+,B,B+,D+,D-,B+,A,D-,D,"Communication, Sports","Research, Problem Solving, Critical Thinking",3
A-,C,A-,C,C+,C-,C+,B,A-,B,A-,D-,A-,C,C+,D+,E,B-,C,C,C,E,B-,C-,C,A,"Research, Music, Healthcare","Research, Leadership, Teamwork, Critical Thinking",3
B+,C-,A,A-,B-,B-,C,D,C-,B+,A-,B,A-,B-,E,B,C-,B,D+,D-,A,A-,B,B+,D+,B-,"Communication, Healthcare, Management","Research, Creativity, Critical Thinking",3
A,A,B,B,C,A-,D-,C+,E,C,D,E,A-,D-,A,D+,A-,C,D,B+,C-,A,C-,A,A,D-,"Research, Music, Technology, Management","Communication, Creativity, Problem Solving, Critical Thinking",3
C,A-,A,C+,A-,B,B,E,B-,A-,E,D-,D+,C-,B,D+,C-,C+,D,D,D+,D+,A-,C,E,C+,"Research, Debating","Research, Creativity, Critical Thinking, Analytical Skills, Empathy",3
B,A,A,D+,D+,C+,C,C-,B+,C-,D-,A-,C,C-,A-,D,A-,D-,B+,C-,C-,D+,B,C,B,A-,"Communication, Technology, Management","Teamwork, Research, Problem Solving, Leadership, Analytical Skills, Communication",3
D+,C-,A,A,B,B-,B-,B,E,C-,B,C+,D,D+,C-,B-,B,A,C+,A,A,C,C-,B,C-,E,"Art, Research","Logical Thinking, Teamwork, Research, Problem Solving, Critical Thinking",3
C-,B,A,E,B-,C-,B+,C-,A,C,B-,D-,B+,D,C+,C+,A-,A,C+,D-,D+,A,D-,D-,A,C-,"Communication, Science, Technology, Building things","Logical Thinking, Teamwork, Research, Critical Thinking, Analytical Skills, Communication",3
B+,C,D+,E,A-,B-,C-,D,C,A,D,D,B+,C+,C,A,D,B,B,C-,D-,B+,D+,E,B,C-,"Critical Thinking, Programming, Technology, Building things","Research, Critical Thinking, Leadership, Analytical Skills, Communication",3
A,C-,A,B-,A,C,A,C,B,D-,E,C+,A-,D-,D,C+,D,A,A-,D,D+,C,B,E,C+,D+,"Music, Critical Thinking","Research, Problem Solving, Critical Thinking",3
D+,B,B+,A,C,C-,D+,C,B,B-,C+,C+,D,D,A-,C,A,D,A-,C+,B-,D,C,D-,E,A,"Healthcare, Science, Critical Thinking, Building things","Research, Creativity, Analytical Skills, Communication, Empathy",3
B+,A-,A,D-,E,B,B+,D-,B-,B+,C,E,A,D-,C,D,B-,A-,D-,C+,D-,B,D,B-,E,A-,"Healthcare, Research, Technology, Debating","Logical Thinking, Research, Creativity, Problem Solving, Critical Thinking, Communication",3
B+,A,B+,C-,C-,C-,C+,D+,C+,A,A,D-,B+,A,E,B,D,E,B-,B+,A-,E,C-,B,D,C+,"Healthcare, Debating, Critical Thinking","Research, Communication, Logical Thinking, Leadership",3
B-,D-,A,C,B-,D-,C,D-,E,D-,E,C+,A-,A,B+,D-,B+,B,B,B+,B-,D-,A-,B-,C-,E,"Critical Thinking, Management","Logical Thinking, Research, Critical Thinking, Leadership, Analytical Skills",3
A,C-,C-,C-,D,D,A-,A-,B+,B-,B+,D+,B+,E,D+,D-,A-,D,E,C+,B,A-,D+,C-,B,B-,"Programming, Debating, Sports, Critical Thinking","Research, Communication, Manual Dexterity, Critical Thinking",3
C+,B,A-,E,E,C,D+,C+,C+,D-,C-,C-,A-,D,D+,A,D-,C,C,C,B,B-,D,C,D+,B+,"Art, Research, Science, Management","Research, Critical Thinking, Manual Dexterity, Leadership, Communication",3
C,E,A,D+,A-,D+,B+,B+,D,E,E,C+,A-,B,D+,C+,D-,B-,E,B+,D,E,B,A-,E,B-,"Research, Healthcare, Management","Research, Teamwork, Analytical Skills, Critical Thinking",3
C-,C-,C,D,C+,A-,C+,B+,A-,B+,D+,C+,B,D+,C,B-,A,C+,C+,E,E,D-,C-,E,D+,B-,"Art, Research, Sports, Building things","Research, Empathy, Critical Thinking",3
D+,D-,B+,D-,C-,A-,B+,D-,B+,D-,A,D,A-,E,C,D+,D,C,B,A-,C,B+,D,A,E,D+,"Communication, Technology","Creativity, Problem Solving, Critical Thinking, Communication, Empathy",3
B-,C+,A,D-,A-,A,B+,C+,E,C-,C+,A-,A,D,B,B,E,B-,B-,E,A,C-,D,D-,B+,B+,"Research, Debating","Research, Problem Solving, Manual Dexterity, Analytical Skills, Communication",3
A,D+,C-,C,E,A,A-,B+,A,C-,B,B,A,C+,B-,A,D,B-,A,D-,D+,C-,C+,C-,D+,C+,"Communication, Debating","Teamwork, Critical Thinking, Manual Dexterity, Analytical Skills, Communication",3
D,D,C+,C+,D,B+,B,C+,D-,B-,B-,B+,B,E,A-,C-,D-,B,B+,D+,D-,B-,D,B+,A-,B+,"Art, Research, Sports, Building things","Critical Thinking, Leadership, Analytical Skills, Communication, Empathy",3
B+,E,A-,D+,C,D+,D,C-,E,C,C-,C-,D+,D,A,D+,A,D+,E,A-,C,C-,B-,C,D-,D,"Music, Debating, Critical Thinking, Building things","Research, Creativity, Empathy, Critical Thinking",3
D-,A-,A,D-,D+,B,A-,D+,C-,D+,B,E,B+,C+,D+,D-,C,E,C,C,C,D+,C+,A,D+,E,"Research, Building things","Research, Problem Solving, Critical Thinking",3
C,B+,A,C-,D-,D-,D,C-,C-,C+,B+,B,B+,B,B+,E,A,E,C,A,E,E,D+,B+,D+,D+,"Technology, Critical Thinking","Research, Analytical Skills, Critical Thinking",3
B+,A,B+,B,E,C,A,A-,D-,E,C,C-,C+,D-,C,D-,C,D,E,B+,C-,A,A-,A-,B-,D-,"Programming, Healthcare, Critical Thinking, Building things","Teamwork, Research, Leadership, Analytical Skills, Communication, Empathy",3
A-,B-,B+,B+,C-,B-,A-,D-,A-,C,C+,B+,B+,D+,B+,C-,C+,D,A-,A-,D-,D-,C-,B,B+,A-,"Art, Research, Healthcare, Sports","Logical Thinking, Teamwork, Creativity, Critical Thinking, Leadership, Communication",3
B+,D-,A-,D-,D-,B+,D-,C-,D,C,E,C+,B,C,C+,C-,D+,B+,A,B-,B,A,D-,B+,A-,B+,"Technology, Debating, Critical Thinking","Communication, Manual Dexterity, Leadership, Critical Thinking",3
B+,E,C-,B-,D+,A,A,D+,B-,D+,B,B,B-,A-,A-,A-,B+,B+,D,B+,B,D+,A,C-,C-,C+,"Communication, Technology, Debating, Building things","Communication, Manual Dexterity, Critical Thinking",3
D-,A,A-,B,B+,A-,A-,D-,D+,B-,C,C,B+,B-,C+,E,D+,B,C-,B-,D-,B,D+,B,C-,B+,"Communication, Healthcare","Logical Thinking, Critical Thinking, Leadership, Communication, Empathy",3
C+,A,D+,D,D+,D+,C+,D,D-,B-,A,C+,A,D,A-,D-,D-,C-,B+,B-,D+,C+,B-,A,B,B+,"Research, Programming, Technology, Building things","Logical Thinking, Research, Problem Solving, Critical Thinking, Manual Dexterity, Empathy",3
D,A,B+,E,B-,A-,C,C+,E,C+,B+,C-,A,C+,C-,D,B,D+,C-,C,A,A-,D,B,E,C-,"Sports, Critical Thinking","Research, Logical Thinking, Critical Thinking",3
D+,D+,A-,E,D,C+,C-,C-,A,E,D,C+,B+,C+,C,C-,C+,A-,D+,D,B+,D+,E,C-,C-,B,"Communication, Technology, Building things","Logical Thinking, Research, Creativity, Leadership, Communication, Empathy",3
C-,B+,A-,C+,D+,D+,C,B,C+,B,C,C+,B-,E,C+,A,B+,A-,A-,B,B-,C-,E,C+,D+,B+,"Art, Sports, Critical Thinking","Communication, Problem Solving, Teamwork, Critical Thinking",3
C-,C-,B-,C+,D-,B-,E,D,B,B-,D+,E,A-,B,B-,A,C+,D-,D+,C-,D-,D,B,C+,C,B-,"Art, Critical Thinking","Teamwork, Critical Thinking, Manual Dexterity, Leadership, Communication, Empathy",3
B-,E,A,B,C-,B,C,C-,B+,D,B-,C,A-,A-,B,C,C-,B,D,C-,B-,D-,E,C-,A,E,"Music, Critical Thinking","Teamwork, Research, Problem Solving, Critical Thinking, Communication",3
B-,B+,C+,D,E,A,D-,D+,C,D+,C-,C,A-,D-,A-,A,B+,A,B-,E,C-,B,C-,C,D,A-,"Communication, Science","Communication, Manual Dexterity, Leadership, Critical Thinking",3
D,B,B+,D,D,E,A-,D,D-,D-,D+,A-,D,E,A,B-,C+,A,C-,E,E,B+,C-,E,D-,B,"Healthcare, Research, Programming","Communication, Logical Thinking, Teamwork, Critical Thinking",3
D-,E,C+,D+,B-,C+,C+,B,C,B-,D,C+,B-,B-,C-,B-,D,D,E,C+,B,A-,C+,C-,D+,C-,"Debating, Critical Thinking, Management","Research, Communication, Manual Dexterity, Analytical Skills",3
E,E,D,B+,B,A,D+,A,B-,A,B+,A-,B+,D+,C+,B,D-,A,B-,B+,B+,C-,D,E,C+,C-,"Communication, Programming","Teamwork, Research, Creativity, Critical Thinking, Manual Dexterity, Empathy",3
B+,E,C,D-,C+,D+,E,A-,D,C-,B-,A,A,A,D-,C+,C-,D-,D-,D-,B+,D-,A-,D-,A,B,"Communication, Debating, Building things","Research, Manual Dexterity, Creativity, Critical Thinking",3
C-,E,C-,D+,C-,B+,A-,A-,B+,A-,C-,B+,A,B-,C,C-,E,D+,D+,C+,C-,A-,A,C-,B+,D,"Programming, Music, Technology, Critical Thinking","Logical Thinking, Research, Critical Thinking, Leadership, Analytical Skills, Communication",3
D+,E,C+,D+,D,D,E,C-,E,C+,C,A-,B-,C-,D+,D,A,E,B+,C-,D+,C+,B,D,D-,C,"Healthcare, Programming, Critical Thinking","Teamwork, Creativity, Critical Thinking, Leadership, Communication",3
D+,E,A-,D-,A,A,E,A,C-,B+,B,A-,A,C,C,C,E,C-,C,E,D-,D,B+,C-,A-,C,"Research, Programming, Healthcare, Sports","Logical Thinking, Research, Problem Solving, Leadership, Communication",3
B-,B-,A,B-,A,A-,C+,A,E,B,A-,B,C,D,B-,B+,D+,B+,C+,C-,D-,C-,B-,B,B-,A,"Music, Debating, Technology, Critical Thinking","Research, Communication",3
D,A,C,B+,E,D-,C+,B-,C-,D+,B,B-,D+,B-,B+,C+,C-,A,E,E,D+,C+,C,C,A,B,"Communication, Sports","Communication, Research, Creativity, Analytical Skills",3
D,B-,D,D+,C+,B,C,A-,A,A,C+,B-,B+,C-,C-,D+,C+,C,B,B+,D+,B,A-,A,A,B-,"Communication, Science, Management","Teamwork, Research, Critical Thinking, Manual Dexterity, Empathy",3
A-,B-,B-,B+,D+,B,D+,C+,C+,D+,B-,D+,B+,B+,D+,B,C-,D,C+,B,C+,D,C,A-,C+,C-,"Art, Research, Debating, Building things","Research, Communication, Analytical Skills",3
C,A,B-,C+,C+,B-,D,A-,E,C,D,C-,C+,C+,C+,A,D-,A-,B-,D,C,C-,D+,D,B-,A-,"Research, Technology, Sports","Teamwork, Research, Critical Thinking, Manual Dexterity, Analytical Skills, Communication",3
D+,E,C,C+,A-,D,D+,E,D+,D-,A-,D+,C+,C,A-,C,C-,D,C-,B-,C+,C,B-,D-,D,B-,"Research, Building things","Research, Creativity, Problem Solving, Leadership, Communication, Empathy",3
C-,B-,A-,A,C+,B-,A,B+,B-,A,B,D,A-,B-,C,C-,A-,B,B,B,E,A-,A-,C+,B,C-,"Research, Programming, Sports, Building things","Teamwork, Critical Thinking, Manual Dexterity, Analytical Skills, Communication",3
C+,C+,B+,E,D,C-,D+,C,B+,E,C-,D+,A,B+,D,D-,E,C,A,B+,B+,B,C,B,D,B,"Research, Science, Technology","Research, Creativity, Critical Thinking",3
C+,D,B-,E,C-,D+,B+,B,A-,B-,C+,B+,A,D-,D,E,A-,C+,A-,D+,B+,A-,A-,A,C-,D,"Analytical Skills, Management","Communication, Logical Thinking, Leadership, Analytical Skills",4
A,A,D,D+,E,E,C,B-,A-,A,C-,A,B,D-,E,A,B-,C+,D-,B,A,D,B-,D-,C+,A,"Art, Healthcare, Analytical Skills","Logical Thinking, Creativity, Problem Solving, Analytical Skills, Communication",4
A-,D-,A-,A,C,D,C,D+,B-,B-,B+,C,B-,C+,C-,E,B+,C,E,C,E,C+,A-,A,C-,C+,"Communication, Programming, Management","Logical Thinking, Research, Manual Dexterity, Analytical Skills, Communication",4
D+,B-,B-,D,E,B+,D-,B,A-,B+,D-,C+,C-,C-,D-,E,B+,E,C,B-,B+,A-,C+,E,D,C+,"Communication, Healthcare","Logical Thinking, Teamwork, Manual Dexterity, Analytical Skills, Communication",4
C+,B-,C-,D-,A,E,A,D-,C,B-,B-,A,B+,B-,C+,B,A,B-,B,B-,D-,D-,D+,D,B+,A-,"Analytical Skills, Music, Technology","Communication, Manual Dexterity, Analytical Skills",4
A-,A-,A,B+,B,B-,C+,D,C-,C+,B,C,C-,B+,B-,E,A,D+,B,A-,C+,D,D+,D-,B,C,"Communication, Management","Creativity, Problem Solving, Manual Dexterity, Leadership, Communication",4
B,A-,B,D+,C,C-,C,C-,B-,A,B,D-,C,B-,A,C-,B,B+,B,E,C+,D-,A,B+,E,B,"Analytical Skills, Programming, Sports","Logical Thinking, Leadership, Analytical Skills",4
C-,A-,A-,B+,B,C,A,C-,E,C+,B,B+,C-,C+,B,C+,A-,B-,C+,D-,B,C+,B+,B,C-,D-,"Analytical Skills, Science, Debating, Sports","Communication, Logical Thinking, Problem Solving, Analytical Skills",4
C-,B,C,E,C+,D-,A-,C,C,D,D,D-,B-,C-,B+,C+,B-,C,D,D,A,A-,D+,A,D+,A,"Art, Communication, Science, Technology","Research, Communication, Teamwork, Analytical Skills",4
C,C+,D,C+,D-,C-,D,A,E,B,E,A-,B+,B+,E,B,C+,C-,D+,D-,A,C,C+,A-,C-,D+,"Communication, Music, Building things","Research, Manual Dexterity, Analytical Skills, Communication, Empathy",4
C+,C,D,A-,A,B-,E,C,C-,E,A-,E,D,D+,B-,C-,A,D+,E,E,D,E,A,C,B-,E,"Programming, Analytical Skills","Communication, Logical Thinking, Empathy, Leadership",4
A,C+,D,B+,A,C,C-,B+,A-,B,B,B-,A,C-,B-,D,B,A-,C,D+,A,D-,B+,C,B+,A-,"Healthcare, Analytical Skills, Programming, Sports","Problem Solving, Leadership, Analytical Skills, Communication, Empathy",4
C-,C-,E,D-,D+,A-,C-,B+,A-,C,D,E,A-,D,B,D-,A-,D,B,C-,C,D-,A,D+,A,E,"Analytical Skills, Sports","Creativity, Leadership, Analytical Skills",4
B-,B-,A-,D,A-,A-,B,B+,C+,B-,A,D,B,A-,E,B-,B+,C-,A-,C-,D,D+,D,B,D,E,"Analytical Skills, Sports, Management","Communication, Creativity, Leadership",4
B+,B-,C-,D-,C,E,D,A-,D+,C,E,A-,E,C,B,C-,C-,E,D,C+,B,B-,B+,D+,D,D+,"Art, Communication, Programming, Debating","Teamwork, Research, Problem Solving, Leadership, Communication",4
C+,D+,A-,D+,D-,B+,D+,E,B-,D+,D,C-,A-,D-,D+,D,A,B,E,C,A-,D,D-,D-,C-,D-,"Technology, Analytical Skills, Building things","Communication, Empathy, Leadership, Analytical Skills",4
C-,A,D-,A-,C-,B+,B+,E,C-,D-,D,D-,D,D+,D+,D+,C-,E,B,D,B-,B-,D,B,E,C-,"Communication, Technology","Logical Thinking, Teamwork, Creativity, Manual Dexterity, Leadership, Communication",4
B+,E,E,B-,B+,C,A,B-,D+,E,E,D-,A,A,C+,C,B,E,D+,D+,B-,D+,B+,E,D+,C-,"Leadership, Sports, Management","Communication, Logical Thinking, Analytical Skills",4
A-,B-,A-,D-,A,B-,D,A-,A-,C-,A,E,B-,C-,E,A,B-,A-,C-,B-,D-,C,B+,A-,C+,B-,"Communication, Music","Communication, Problem Solving, Analytical Skills",4
A,D-,C,B,E,A-,A-,B-,C+,A-,D-,C+,D,D,C+,C+,B-,B,B-,B-,B+,D+,D-,E,D+,B,"Communication, Healthcare, Technology, Building things","Logical Thinking, Teamwork, Problem Solving, Leadership, Analytical Skills, Communication",4
C-,C+,B+,B-,C-,A-,C,D+,C-,D+,B-,D-,A,A-,C+,E,C+,A,B+,C,A,C,D,D-,C,A-,"Art, Programming, Leadership","Teamwork, Creativity, Manual Dexterity, Analytical Skills, Communication",4
A-,B-,B,D-,D+,A,D-,C,A-,C,B+,C,D+,B+,E,C+,A,C-,B-,E,D-,D+,C-,B-,A,C,"Technology, Analytical Skills","Logical Thinking, Problem Solving, Manual Dexterity, Leadership, Communication, Empathy",4
A-,E,B+,A-,C+,C-,B,B-,A-,B+,A-,B-,A-,C-,C,B-,A,C+,A-,B,D,B-,D,E,E,B,"Healthcare, Science, Analytical Skills, Building things","Communication, Leadership, Problem Solving, Teamwork",4
A,A,B-,C+,C+,A-,A,D-,C+,D-,E,C-,D+,C+,B-,D+,A,A,B,C+,D-,D+,C,C+,E,D,"Art, Analytical Skills","Manual Dexterity, Leadership, Analytical Skills, Teamwork",4
D+,D+,C-,D+,E,C,D,C-,A,D+,A,B-,C,D-,E,B-,C,C+,C+,B-,D-,A,A,B,C-,C+,"Science, Debating, Analytical Skills, Management","Communication, Leadership, Teamwork",4
A,C,B-,C+,B-,D-,A-,C-,B-,B-,B,A,D,C+,B+,D-,B+,B+,A,A,B,D,D+,B,B,D,"Communication, Music, Technology","Communication, Manual Dexterity, Analytical Skills",4
A-,C,C-,D+,C,C+,B+,D,D+,E,B+,D-,C-,D-,B,B+,C,C-,C,E,D+,A,D-,A-,D-,C,"Leadership, Healthcare, Debating, Technology","Communication, Problem Solving, Teamwork, Analytical Skills",4
A,C+,C-,D-,C-,B+,A-,E,E,D-,C+,A,A-,B,C,A-,B,C+,C,E,D+,B+,C-,B-,C,E,"Music, Analytical Skills, Management","Communication, Logical Thinking, Problem Solving, Analytical Skills",4
C+,E,A-,E,C-,D+,D+,D+,B,A,E,C+,C,C,C,B,B+,D,D+,B-,D,D,A,B+,B-,A,"Art, Science, Leadership","Logical Thinking, Research, Problem Solving, Leadership, Communication",4
A-,D,D-,A-,C,D-,C,D,D-,B+,B-,B,B,B+,B-,B+,A,D+,B,E,C,D,C-,B-,D+,C-,"Communication, Debating, Sports","Logical Thinking, Creativity, Leadership, Communication, Empathy",4
C+,B-,C,A,A,B-,C+,A-,A-,A,D,A,B-,B-,D,C-,B+,D+,B,D,D-,C+,E,D+,C,E,"Programming, Leadership","Communication, Manual Dexterity, Analytical Skills",4
C-,B,E,B-,A,B+,B,D+,D-,A,A-,C+,C-,E,C-,B+,A-,D+,D-,D,B,C+,C-,D,C+,E,"Art, Healthcare, Analytical Skills","Research, Communication, Leadership, Analytical Skills",4
A-,C+,D-,D+,A,D+,D-,B,C+,C-,B,B,C,C-,D,D+,C,D,B+,B-,C+,B-,D,D+,A-,C+,"Communication, Music","Leadership, Analytical Skills",4
B+,D-,D-,B,D+,B-,C,A-,B+,B-,B+,D,B-,A,D+,C-,B-,D+,A-,D+,B+,B+,D-,E,D-,B-,"Communication, Technology, Sports","Teamwork, Creativity, Analytical Skills, Communication, Empathy",4
C+,D+,D,B+,C,B,B+,B-,C+,B-,C+,B,D+,D-,D-,A,A-,D-,A-,C+,A,B-,C-,D-,E,B,"Debating, Leadership, Technology, Building things","Logical Thinking, Teamwork, Leadership, Analytical Skills, Communication",4
A,C-,A-,B+,C,C,C,C+,D-,A-,A,C-,B-,B+,C+,C+,A-,A-,B+,C-,D+,B,A,C-,A,C-,"Music, Analytical Skills, Building things","Leadership, Problem Solving, Teamwork, Analytical Skills",4
C,A-,E,A,A,D,E,C,C+,B+,A,B-,A-,A,D,D+,B+,D,E,A,C,A,D,A,D-,A-,"Communication, Science","Creativity, Problem Solving, Manual Dexterity, Analytical Skills, Communication",4
A,D-,C,B,D+,B+,D,D+,C+,C-,D-,C-,A,A-,D,C-,A,D+,D-,A-,B,A-,D+,C-,C+,B-,"Leadership, Sports","Communication, Creativity, Analytical Skills",4
D+,B,C,B,C-,C,E,D-,C-,C,A-,A-,E,B-,A-,A,A-,D-,C,C,A-,D-,D,D,C,B,"Leadership, Building things","Logical Thinking, Teamwork, Leadership, Analytical Skills, Communication, Empathy",4
A,B+,B+,D-,D-,A,C+,E,C,D-,A-,B+,C+,C,D-,C+,B+,A,D,B-,D-,C,C-,A,C,C,"Music, Analytical Skills, Building things","Creativity, Leadership, Analytical Skills",4
A,C+,B+,D,E,D,D+,A,B-,B,A,D-,D,B,D,D,A-,A-,C-,D-,C+,C,B-,A-,A,C-,"Art, Programming, Technology, Leadership","Communication, Leadership, Analytical Skills",4
B+,E,C+,D+,C,D-,B-,C+,A-,D+,E,C+,B+,B,B,D-,C+,B+,A,D+,C,B+,B+,B+,C,A-,"Communication, Debating","Logical Thinking, Leadership, Analytical Skills, Teamwork",4
A-,D-,C,D-,A-,B+,C+,B-,B-,B,B+,D-,D-,B,A-,C,A,C+,A-,D,B-,A,C,D,E,C,"Healthcare, Debating, Analytical Skills","Logical Thinking, Teamwork, Manual Dexterity, Analytical Skills, Communication",4
A,A-,A-,B+,D-,A,C-,A-,B,B-,B+,B,B+,B+,C+,D,A-,D+,D+,E,E,B+,A-,A-,D-,B+,"Communication, Programming","Leadership, Creativity, Problem Solving, Analytical Skills",4
